Gameweek 5
Chelsea,Liverpool
Hull,Arsenal
Leicester,Burnley
Manchester City,Bournemouth
West Brom,West Ham
Everton,Middlesbrough
Watford,Manchester United
Crystal Palace,Stoke
Southampton,Swansea
Spurs,Sunderland
