Gameweek 5
Chelsea,Liverpool,1,2
Hull,Arsenal,1,4
Leicester,Burnley,3,0
Manchester City,Bournemouth,4,0
West Brom,West Ham,4,2
Everton,Middlesbrough,3,1
Watford,Manchester United,3,1
Crystal Palace,Stoke,4,1
Southampton,Swansea,1,0
Spurs,Sunderland,1,0
