Gameweek 7
Everton,Crystal Palace,1,1
Swansea,Liverpool,1,2
Hull,Chelsea,0,2
Sunderland,West Brom,1,1
Watford,Bournemouth,2,2
West Ham,Middlesbrough,1,1
Manchester United,Stoke
Leicester,Southampton
Spurs,Manchester City
Burnley,Arsenal
