Gameweek 7
Everton,Crystal Palace
Swansea,Liverpool
Hull,Chelsea
Sunderland,West Brom
Watford,Bournemouth
West Ham,Middlesbrough
Manchester United,Stoke
Leicester,Southampton
Spurs,Manchester City
Burnley,Arsenal
