Gameweek 4
Manchester United,Manchester City,1,2
Arsenal,Southampton,2,1
Bournemouth,West Brom,1,0
Burnley,Hull,1,1
Middlesbrough,Crystal Palace,1,2
Stoke,Spurs,0,4
West Ham,Watford,2,4
Liverpool,Leicester,4,1
Swansea,Chelsea,2,2
Sunderland,Everton,0,3

